Whiskey Glasses,isPartial_x,Wasted On You,isPartial_y,Chasin You,isPartial
32,False,0,False,15,False
31,False,0,False,12,False
32,False,0,False,11,False
31,False,0,False,12,False
32,False,0,False,11,False
33,False,0,False,11,False
38,False,0,False,12,False
41,False,0,False,0,False
38,False,0,False,10,False
40,False,0,False,11,False
44,False,0,False,10,False
47,False,0,False,10,False
51,False,0,False,15,False
49,False,0,False,12,False
51,False,0,False,15,False
58,False,0,False,11,False
62,False,0,False,12,False
60,False,0,False,14,False
70,False,0,False,10,False
70,False,0,False,10,False
78,False,0,False,12,False
86,False,0,False,19,False
82,False,0,False,14,False
67,False,0,False,17,False
70,False,0,False,26,False
69,False,0,False,16,False
59,False,0,False,22,False
67,False,0,False,28,False
56,False,0,False,31,False
60,False,0,False,25,False
64,False,0,False,31,False
52,False,0,False,29,False
53,False,0,False,34,False
52,False,0,False,29,False
47,False,0,False,38,False
43,False,0,False,33,False
43,False,0,False,39,False
44,False,0,False,36,False
47,False,0,False,27,False
46,False,0,False,26,False
43,False,0,False,34,False
49,False,0,False,38,False
43,False,0,False,26,False
48,False,0,False,23,False
52,False,0,False,29,False
55,False,0,False,31,False
61,False,0,False,17,False
74,False,0,False,20,False
81,False,0,False,33,False
84,False,0,False,26,False
63,False,0,False,30,False
51,False,0,False,43,False
41,False,0,False,34,False
38,False,0,False,37,False
40,False,0,False,39,False
37,False,0,False,40,False
37,False,0,False,44,False
38,False,0,False,51,False
41,False,0,False,70,False
36,False,0,False,66,False
34,False,0,False,72,False
32,False,0,False,55,False
28,False,0,False,60,False
33,False,0,False,86,False
32,False,0,False,78,False
42,False,0,False,89,False
38,False,0,False,75,False
42,False,0,False,100,False
42,False,0,False,77,False
41,False,0,False,82,False
43,False,28,False,80,False
40,False,31,False,95,False
43,False,23,False,83,False
42,False,30,False,81,False
49,False,30,False,85,False
45,False,23,False,73,False
41,False,19,False,82,False
41,False,23,False,76,False
37,False,18,False,68,False
39,False,18,False,79,False
38,False,18,False,73,False
40,False,21,False,59,False
38,False,17,False,54,False
36,False,15,False,66,False
40,False,14,False,73,False
39,False,12,False,78,False
39,False,15,False,46,False
40,False,14,False,55,False
70,False,14,False,60,False
40,False,11,False,46,False
35,False,8,False,43,False
39,False,13,False,54,False
40,False,10,False,50,False
41,False,10,False,56,False
38,False,10,False,40,False
38,False,8,False,33,False
51,False,13,False,48,False
60,False,8,False,38,False
78,False,7,False,37,False
84,False,11,False,44,False
100,False,10,False,45,False
87,False,11,False,28,False
74,False,9,False,39,False
55,False,12,False,31,False
39,False,39,False,40,False
43,False,100,False,46,False
43,False,72,False,46,False
36,False,64,False,34,False
59,False,70,False,46,False
47,False,59,False,43,False
36,False,48,False,31,False
35,False,54,False,34,False
37,False,39,False,24,False
36,False,35,False,27,False
32,False,28,False,20,False
30,False,33,False,22,False
33,False,38,False,27,False
32,False,31,False,20,False
29,False,32,False,25,False
31,False,31,False,37,False
32,False,33,False,20,False
34,False,31,False,22,False
30,False,28,False,16,False
31,False,23,False,22,False
31,False,28,False,28,False
34,False,26,False,23,False
34,False,34,False,33,False
36,False,26,False,26,False
32,False,26,False,25,False
32,False,21,False,24,False
30,False,25,False,28,False
32,False,27,False,24,False
34,False,25,False,28,False
28,False,22,False,21,False
31,False,23,False,26,False
34,False,25,False,23,False
32,False,19,False,23,False
33,False,20,False,11,False
33,False,20,False,30,False
29,False,17,False,21,False
29,False,19,False,25,False
29,False,21,False,22,False
27,False,18,False,21,False
31,False,23,False,24,False
30,False,23,False,18,False
32,False,25,False,21,False
34,False,26,False,23,False
39,False,21,False,22,False
49,False,20,False,29,False
48,False,26,False,25,False
60,False,26,False,18,False
65,False,21,False,26,False
73,False,27,False,23,False
74,False,23,False,28,False
70,False,25,False,17,False
42,False,23,False,27,False
42,False,27,False,14,False
31,False,24,False,27,False
33,False,23,False,20,False
31,False,23,False,22,False
35,False,24,False,22,False
33,False,21,False,17,False
28,False,21,False,17,False
29,False,23,False,22,False
26,False,23,False,10,False
31,False,23,False,20,False
29,False,29,False,14,False
30,False,32,False,19,False
27,False,34,False,16,False
28,False,38,False,17,False
28,False,47,False,28,False
28,False,53,False,29,False
26,False,49,False,34,False
29,False,50,False,23,False
25,False,53,False,23,False
27,False,66,False,24,False
26,False,59,False,15,False
27,False,57,False,18,False
28,False,64,False,24,False
30,False,69,False,31,False
31,False,72,False,22,False
27,False,72,False,12,False
28,False,81,False,21,False
30,False,75,False,30,False
28,False,69,False,19,False
28,False,63,False,29,False
29,False,62,False,24,False
30,False,63,False,15,False
28,False,57,False,16,False
29,False,60,False,17,False
25,False,60,False,20,False
26,False,55,False,24,False
25,False,62,False,42,False
27,False,55,False,33,False
29,False,56,False,35,False
24,False,54,False,33,False
30,False,56,False,50,False
25,False,53,False,45,False
27,False,57,False,29,False
29,False,49,False,49,False
34,False,50,False,74,False
40,False,53,False,55,False
48,False,49,False,48,False
55,False,49,False,46,False
56,False,49,False,48,False
69,False,51,False,48,False
59,False,43,False,50,False
47,False,46,False,58,False
